Date,IDs/Matrilines,Min. Group Size,First Sighting Location,First Sighting Latitude,First Sighting Longitude,First Sighting Time,First Sighting Direction,End Sighting Location,End Sighting Latitude,End Sighting Longitude,End Sighting Time,End Sighting Direction
1/29/2021,T18s,4,Harwood Island,49.83066667,-124.6925,NTG,NDG,SAME,,,,
3/2/2021,"T18s, T49As",8,NE side of Hornby,49.56866667,-124.6338333,NTG,SE,Lambert Channel,,,NTG,N
3/4/2021,"T18s, T49As",8,Swanson Channel,48.82716667,-123.3386667,14:10,N,Trincomali,48.853,-123.3848333,15:40,NW
3/17/2021,T18s,4,"Air Force Beach, Comox",49.75116667,-124.7315,17:20,S,SAME,,,,
3/20/2021,"T18s, T99s, T124As, T124A2s",17,"Dolphin Beach, Nanoose",49.2915,-124.0968333,9:00,SE,Lantzville,,,15:00,NDG
3/21/2021,T18s,4,Sidney Channel,48.631,-123.3496667,8:50,S,Between Coal and Goudge Islands,,,16:10,S
3/28/2021,T18s,4,"Otter Bay, Swanson Channel",48.81483333,-123.3421667,13:50,N,Trincomali,48.84866667,-123.3715,15:45,NW
3/30/2021,T18s,4,Harwood Island,49.82116667,-124.7145,12:20,N,Campbell River Spit,50.0495,-125.241,19:40,N
4/5/2021,T18s,2,Piers Island,48.70533333,-123.435,10:40,W,Finlayson Arm,48.53066667,-123.5391667,15:00,N
4/6/2021,T18s,4,Dodd Narrows,49.14083333,-123.8213333,15:25,N,Neck Point,49.24916667,-123.9301667,17:10,N
4/9/2021,"T2Cs, T18s",8,Tyee Spit,50.05366667,-125.2456667,8:55,S,South of Cape Mudge,,,13:00,S
4/12/2021,"T2Cs, T18s",8,Kitty Coleman,49.845,-124.8493333,13:30,N,Willow Point,,,19:40,S
4/15/2021,T18s,4,Pipers Lagoon,49.22733333,-123.9275,7:15,S,"Whalebone Beach, Gabriola",49.18166667,-123.7655,10:35,SE
4/16/2021,T18s,4,Qualicum Beach,49.42583333,-124.4221667,NTG,N,Campbell River Pier,,,20:00,N
4/17/2021,T18s,4,Mittlenatch,49.9445,-125.0205,NTG,N,Hornby Island,,,19:35,S
4/18/2021,T18s,4,Denman Island ferry terminal (east side),49.5005,-124.7063333,8:40,S,Norris Rocks,,,10:50,S
4/19/2021,T18s,4,"Myrtle Rocks, Powell River",49.78133333,-124.4813333,9:45,N,Between Mittlenatch and Black Creek,,,16:30,NDG
4/21/2021,T18s,4,Powell River,49.82733333,-124.5873333,10:00,N,Marina Island,,,14:45,SE
4/26/2021,T18s,4,Between Kye Bay and Savary Island,49.86266667,-124.8341667,8:30,S,Between Kye Bay and Texada Island,,,9:50,N
4/29/2021,"T18s, (T23Cs)",8,NW side of Cortes Island,50.225,-125.0191667,NTG,N,Pryce Channel,,,13:00,NE
5/2/2021,T18s,4,Cape Lazo,49.6685,-124.8295,12:00,N,SAME,,,,
5/9/2021,"T18s, T36, T36Bs, T46Bs, T46B1s (no B1B), T46C2, T63, T65, T100s, T125A, T128",26,North of Lantzville,49.34066667,-124.0426667,13:30,NW,South of Lasqueti,49.39033333,-124.1386667,14:40,NW
6/6/2021,T18s,4,Kanish Bay,50.24716667,-125.3253333,14:00,NDG,Cape Mudge,,,20:10,S
